security_id,cusip,issuer,reason,conflicting_evidence,impacted_observation_count,affected_variants,affected_splits,recommended_review_action
,G0250X107,AMCOR PLC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,42,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,G65431127,NOBLE CORP PLC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,42,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,Y7388L103,SAFE BULKERS INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,42,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,784305104,H2O AMERICA,AMBIGUOUS,"multiple distinct US tickers: ['HTO', 'SJW']",40,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,02665T306,AMERICAN HOMES 4 RENT,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,39,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,25525P107,DIVERSIFIED HEALTHCARE TR,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,38,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,319383204,FIRST BUSEY CORP,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,38,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,46137V357,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P 500 EQUAL WEIGHT' -> ['VVR'] != OpenFIGI RSP,38,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,review conflict evidence
,G0772R208,BANK OF N T BUTTERFIELD & SO,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,36,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,G7500M104,RENEW ENERGY GLOBAL PLC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,36,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout;H4_combined;H4_combined,resolve ambiguity
,60784B101,MODIV INDUSTRIAL INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,35,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,892331307,TOYOTA MOTOR CORP,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,35,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,98149E303,WORLD GOLD TR,CONFLICT,SEC title 'SPDR GOLD MINISHARES TRUST' -> ['GLD'] != OpenFIGI GLDM,35,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,review conflict evidence
,G9108L173,TSAKOS ENERGY NAVIGATION LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,35,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,Y27183600,GLOBAL SHIP LEASE INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,35,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,67623L307,OFFERPAD SOLUTIONS INC,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,33,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,706327103,PEMBINA PIPELINE CORP,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,33,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,72346Q104,PINNACLE FINL PARTNERS INC,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,33,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,91705J204,URBAN ONE INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,33,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,Y1771G102,COSTAMARE INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,33,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout;H4_combined;H4_combined,resolve ambiguity
,30779N105,FARMERS & MERCHANTS BANCORP,CONFLICT,SEC unique ticker FMCB != OpenFIGI FMAO,32,O0;O1_2Q,H3_security_holdout;H3_security_holdout;H4_combined;H4_combined,review conflict evidence
,90984P303,UNITED CMNTY BKS BLAIRSVLE G,AMBIGUOUS,"multiple distinct US tickers: ['UCB', 'UCBI']",32,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,M7S64L123,PAGAYA TECHNOLOGIES LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,32,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H4_combined;H4_combined;H4_combined,resolve ambiguity
,559166103,MAGIC SOFTWARE ENTERPRISES L,CONFLICT,SEC unique ticker RMTHF != OpenFIGI MGIC,31,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,review conflict evidence
,65345N106,NEXTNAV INC,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,31,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,78137L105,RUM GROUP INC,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,31,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,X3R81D102,FORAFRIC GLOBAL PLC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,31,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout;H4_combined;H4_combined,resolve ambiguity
,904767704,UNILEVER PLC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,30,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,G3730V105,FTAI AVIATION LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,30,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,M9607U115,VALENS SEMICONDUCTOR LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,30,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout;H4_combined,resolve ambiguity
,Y2066G104,DIANA SHIPPING INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,30,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,46137V233,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P 500 TOP 50 ETF' -> ['VVR'] != OpenFIGI XLG,27,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,review conflict evidence
,46137V241,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P 500 QUALITY ETF' -> ['VVR'] != OpenFIGI SPHQ,27,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout,review conflict evidence
,G9572D103,WEBULL CORP,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,26,O0;O1_2Q;O1_3Q,H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,46137V431,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P 500 GARP ETF' -> ['VVR'] != OpenFIGI SPGP,25,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,review conflict evidence
,46138G508,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO SENIOR LOAN ETF' -> ['VVR'] != OpenFIGI BKLN,25,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,review conflict evidence
,47030M106,JAMES HARDIE INDS PLC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,25,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,601137102,MILLROSE PPTYS INC,AMBIGUOUS,"multiple distinct US tickers: ['MRP', 'MRP-W']",25,O0;O1_2Q;O1_3Q,H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,G9503X103,WALDENCAST PLC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,25,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,L18268109,CODERE ONLINE LUXEMBOURG S A,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,25,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,46137V258,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P 500 PURE VALUE E' -> ['VVR'] != OpenFIGI RPV,24,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout;H4_combined,review conflict evidence
,46138E362,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P 500 HIGH DIVIDEN' -> ['VVR'] != OpenFIGI SPHD,24,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,46138G698,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P 500 REVENUE ETF' -> ['VVR'] != OpenFIGI RWL,24,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,review conflict evidence
,46428R107,ISHARES S&P GSCI COMMODITY-,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,24,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,583928106,MEDALLION FINANCIAL CORP,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,24,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,G4253H101,JAMES HARDIE INDS PLC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,24,O0;O1_2Q;O1_3Q,H4_combined,resolve ambiguity
,G5568L109,LIFEZONE METALS LIMITED,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,24,O0;O1_2Q;O1_3Q,H3_security_holdout;H4_combined;H4_combined,resolve ambiguity
,693691107,PSQ HOLDINGS INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,23,O0;O1_2Q;O1_3Q,H0_dev;H1_time_holdout;H2_manager_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,73933H101,POWER REIT,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,23,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,G2662B103,CRITICAL METALS CORP,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,23,O0;O1_2Q;O1_3Q,H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,G85727108,SUNCAR TECHNOLOGY GROUP INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,23,O0;O1_2Q,H3_security_holdout;H4_combined,resolve ambiguity
,23248B109,CXAPP INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,22,O0;O1_2Q;O1_3Q,H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,46137V282,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P 500 EQUAL WEIGHT' -> ['VVR'] != OpenFIGI RSPT,22,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,review conflict evidence
,46138E339,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P 500 MOMENTUM ETF' -> ['VVR'] != OpenFIGI SPMO,22,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout;H4_combined,review conflict evidence
,46138E354,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P 500 LOW VOLATILI' -> ['VVR'] != OpenFIGI SPLV,22,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout,review conflict evidence
,46138E370,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P 500 HIGH BETA ET' -> ['VVR'] != OpenFIGI SPHB,22,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout,review conflict evidence
,78397T202,SAB BIOTHERAPEUTICS INC,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,22,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,92854T100,VIVID SEATS INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,22,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,G29201103,ECARX HOLDINGS INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,22,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout;H4_combined;H4_combined;H4_combined,resolve ambiguity
,G9471C206,VERTICAL AEROSPACE LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,21,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,G9491K105,GOGORO INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,21,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,M0740A108,ALPHA TAU MEDICAL LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,21,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,46137V266,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P 500 PURE GROWTH' -> ['VVR'] != OpenFIGI RPG,20,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout,review conflict evidence
,358029106,FRESENIUS MEDICAL CARE AG,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,19,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,40049J206,GRUPO TELEVISA S A B,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,19,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,49457M106,NAKAMOTO INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,19,O0;O1_2Q,H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,60743G100,MOBIX LABS INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,19,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,G16252101,BROOKFIELD INFRASTRUCTURE PA,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,19,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,G5753U112,MAIDEN HOLDINGS LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,19,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H2_manager_holdout,resolve ambiguity
,L0175J138,ALTISOURCE PORTFOLIO SOLUTIO,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,19,O0;O1_2Q;O1_3Q,H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,L01800108,ALVOTECH,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,19,O0;O1_2Q;O1_3Q,H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,46137V498,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P SMALLCAP MOMENTU' -> ['VVR'] != OpenFIGI XSMO,18,O0;O1_2Q,H3_security_holdout;H3_security_holdout;H4_combined,review conflict evidence
,98400V101,XBP GLOBAL HOLDINGS INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,18,O0,H3_security_holdout;H4_combined,resolve ambiguity
,G05384501,ASPEN INSURANCE HOLDINGS LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,18,O0;O1_2Q,H3_security_holdout;H4_combined;H4_combined,resolve ambiguity
,G51405101,FREIGHTOS LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,18,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H4_combined;H4_combined;H4_combined,resolve ambiguity
,G75398100,REZOLVE AI PLC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,18,O0;O1_2Q;O1_3Q,H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,L0175J112,ALTISOURCE PORTFOLIO SOLUTIO,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,18,O0;O1_2Q;O1_3Q,H3_security_holdout;H4_combined,resolve ambiguity
,L0175J120,ALTISOURCE PORTFOLIO SOLUTIO,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,18,O0;O1_2Q;O1_3Q,H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,46137V563,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO HIGH YIELD EQUITY DI' -> ['VLT'] != OpenFIGI PEY,17,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,530909308,LIBERTY LIVE HOLDINGS INC,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,17,O0;O1_2Q;O1_3Q,H4_combined;H4_combined;H4_combined,resolve ambiguity
,67080N119,NUVATION BIO INC,CONFLICT,SEC unique ticker NUVB != OpenFIGI NUVB/WS,17,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout,review conflict evidence
,74933W452,RBB FD INC,CONFLICT,SEC title 'F/M US TREASURY 3 MONTH BILL' -> ['FMBM'] != OpenFIGI TBIL,17,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout,review conflict evidence
,G7606H108,ROADZEN INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,17,O0;O1_2Q;O1_3Q,H0_dev;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,30329Y304,FG NEXUS INC.,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,16,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,35473P801,FRANKLIN TEMPLETON ETF TR,CONFLICT,SEC title 'FRANKLIN U.S. LARGE CAP MULT' -> ['FT'] != OpenFIGI FLQL,16,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,review conflict evidence
,53271X108,LIMINATUS PHARMA INC.,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,16,O0;O1_2Q,H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,67054R203,T3 DEFENSE INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,16,O0;O1_2Q;O1_3Q,H1_time_holdout;H2_manager_holdout,resolve ambiguity
,G7006A109,PERFECT CORP,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,16,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
